TYPE
kern

GROUPS1
A;A
A.sc;a.sc
V;V
a;a
nKernRight;h;m;n

GROUPS2
A;A
A.sc;a.sc
V;V
a;a
n;n

VALUES
side1;side2;C4872ECA-A3A9-40AB-960A-1DB2202F16DE;3E7589AA-8194-470F-8E2F-13C1C581BE24;BFFFD157-90D3-4B85-B99D-9A2F366F03CA
@A;@J;-30;-20;-10
@A;@O;-20;-30;-40
@A;@T;-100;-80;-80
@A;@U;-20;-20;-40
@A;@V;-10;-50;-70
@A;@Y;-40;-70;-100
@A;@o;-10;-20;-30
@A;@quote;-60;-60;-60
@A;@quoteright;-60;-60;-50
@A;@t;-30;-30;-60
@A;@u;-20;-20;-30
@A;@v;-20;-40;-50
@A;@w;-20;-30;-40
@A;@y;-20;-30;-40
@B;@T;-50;-30;-20
@B;@V;-30;-20;-30
@B;@Y;-40;-50;-50
@B;@v;-10;-10;-10
@B;@y;;;-10
@C;@O;-20;-30;-30
@C;@o;-10;-10;-10
@C;@quoteright;;20;10
@E;@O;-20;-10;-10
@E;@V;-20;-20;-10
@E;@Y;-20;-20;-20
@F;@A;-60;-40;-50
@F;@O;-30;-20;-10
@F;@a;-50;-50;-20
@F;@o;-50;-40;-15
@K;@O;-30;-40;-40
@K;@a;-30;-40;-20
@K;@o;-30;-45;-50
@K;@v;-30;-40;-60
@K;@y;-20;-30;-50
@L;@O;-70;-40;-20
@L;@T;-110;-130;-110
@L;@U;-20;-30;-20
@L;@V;-90;-80;-80
@L;@Y;-110;-120;-140
@L;@a;-20;-20;
@L;@o;-20;-20;
@L;@quote;-80;-100;-70
@L;@quoteright;-80;-120;-70
@L;@t;-40;-30;-20
@L;@u;-20;-20;
@L;@v;-70;-60;-40
@M;@O;-20;-20;-30
@M;@T;-40;-30;-50
@M;@V;-20;-20;-50
@M;@Y;-30;-30;-70
@M;@o;-10;-20;-30
@M;@v;-20;-20;-40
@M;@t;;-20;-40
@M;@y;;;-40
@O;@A;-20;-40;-40
@O;@J;-30;-20;-20
@O;@M;-20;-20;-30
@O;@T;-60;-50;-40
@O;@V;-10;-20;-50
@O;@X;-30;-40;-50
@O;@Y;-20;-40;-70
@O;@Z;-40;-30;-20
@O;@quoteright;-20;-20;
@P;@A;-40;-50;-50
@P;@V;-10;-10;-20
@P;@Y;-20;-20;-50
@P;@a;-20;-20;-20
@P;@o;-20;-30;-20
@P;@s;-10;;
@R;@O;-20;-20;-20
@R;@T;-30;-30;-20
@R;@V;-20;-30;-30
@R;@Y;-30;-40;-50
@R;@a;-30;-30;-20
@R;@o;-30;-30;-20
@R;@u;-10;-10;
@R;@v;-20;-20;-20
@R;@y;-20;-20;-20
@R;@U;;-10;-10
@S;@T;-20;;
@S;@V;-20;-20;
@T;@A;-100;-80;-80
@T;@M;-50;-30;-50
@T;@O;-60;-50;-40
@T;@S;-40;-30;-20
@T;@a;-130;-120;-60
@T;@h;-70;-40;-10
@T;@n;-80;-90;-20
@T;@o;-140;-130;-100
@T;@s;-120;-130;-60
@T;@v;-100;-70;-20
@T;@w;-100;-70;-20
@T;@y;-90;-70;
@T;@quote;;40;30
@T;@quoteright;;40;
@U;@A;-20;-20;-40
@V;@A;-10;-50;-70
@V;@M;-20;-20;-50
@V;@O;-10;-20;-40
@V;@S;-20;-30;-20
@V;@a;-60;-80;-60
@V;@o;-60;-70;-70
@V;@quote;;;20
@W;@o;-50;-50;-40
@W;@a;;-30;
@W;@quote;;;20
@X;@O;-30;-40;-50
@X;@o;-30;-50;-50
@X;@a;;-40;-30
@Y;@A;-40;-70;-100
@Y;@M;-30;-30;-70
@Y;@O;-20;-40;-70
@Y;@a;-90;-100;-100
@Y;@o;-80;-110;-120
@Z;@O;-30;-30;-20
@Z;@a;-50;-50;-10
@Z;@o;-50;-50;-20
@Z;@u;-30;-30;-20
@a;@T;-120;-120;-40
@a;@V;-50;-70;-60
@a;@Y;-70;-110;-120
@a;@Z;-20;-20;
@a;@W;;-30;
@a;@X;;-20;-20
@a;@quote;;-30;
@a;@t;;;-10
@a;@v;;;-10
@a;@y;;;-10
@c;@o;-10;-20;-15
@comma;@four;-70;-20;
@comma;@seven;-100;-100;-110
@comma;@six;-30;;
@comma;@space;-50;-40;-30
@comma;@y;30;30;
@comma;@zero;-70;-50;-20
@e;@T;-140;-130;-100
@e;@V;-60;-70;-70
@e;@W;-50;-40;-40
@e;@X;-10;-50;-30
@e;@Y;-80;-110;-120
@e;@Z;-20;-30;
@e;@a;-15;-10;-15
@e;@f;-10;-10;-10
@e;@quoteright;-20;-30;
@e;@t;-10;;
@e;@v;-10;-10;-20
@e;@y;-10;;-20
@e;@z;0;-6;
@e;@quote;;-30;0
@e;@x;;-20;-20
@eight;@quote;-10;-20;-10
@eight;@seven;;-10;-20
@f;@a;-30;-20;-10
@f;@g;-40;-30;-20
@f;@o;-30;-25;-10
@f;@quote;110;70;40
@f;@quoteright;80;70;70
@five;@quote;-20;10;
@five;@seven;-30;;-10
@five;@nine;;;-10
@four;@comma;-60;;
@four;@five;-20;;
@four;@nine;-20;;
@four;@one;-20;-10;
@four;@quote;-60;-50;-20
@four;@seven;-50;-50;-30
@four;@two;-20;-10;
@four;@three;;-10;
@g;@quote;30;;20
@g;@quoteright;40;30;30
@g;@a;;-20;-10
@g;@y;;20;10
@g;@o;;;-10
@i;@quoteright;30;30;60
@j;@quoteright;30;30;40
@k;@a;-10;-20;-15
@k;@quoteright;10;20;20
@k;@o;;-10;-25
@k;@quote;;20;
@k;@v;;-10;
@n;@T;-90;-80;-30
@n;@quote;-30;-20;-20
@n;@v;-10;-15;-10
@nine;@comma;-70;-50;-20
@nine;@two;-30;-20;
@nine;@seven;;;-10
@o;@A;-10;-20;-30
@o;@J;-20;-20;-20
@o;@T;-140;-130;-100
@o;@V;-60;-70;-70
@o;@W;-50;-40;-40
@o;@X;-30;-50;-50
@o;@Y;-80;-110;-120
@o;@Z;-40;-20;-10
@o;@f;-10;-10;-10
@o;@j;-15;-15;-20
@o;@quote;-20;-40;-20
@o;@quoteright;-20;-20;0
@o;@t;-10;;-10
@o;@v;-20;-20;-30
@o;@x;-20;-30;-35
@o;@y;-10;-25;-20
@o;@z;-10;-10;-10
@o;@M;;-20;-30
@one;@quote;-40;-60;-50
@one;@seven;-30;-20;-40
@one;@six;-20;-20;
@one;@zero;-20;-20;-20
@one;@four;;-20;
@quote;@A;-60;-60;-70
@quote;@eight;-20;-20;-10
@quote;@f;60;30;20
@quote;@four;-80;-80;-20
@quote;@g;-60;-60;-20
@quote;@o;-20;-40;-20
@quote;@s;-40;-40;
@quote;@seven;20;20;20
@quote;@six;-20;;-20
@quote;@t;60;40;20
@quote;@zero;-20;-20;-20
@quote;@J;;-20;
@quote;@T;;40;30
@quote;@a;;-20;
@quote;@five;;20;
@quote;@h;;20;10
@quote;@v;;20;
@quote;@w;;20;
@quote;@y;;20;
@quote;@V;;;20
@quote;@W;;;20
@quoteright;@A;-60;-60;-70
@quoteright;@O;-30;-20;-30
@quoteright;@f;20;20;
@quoteright;@g;-60;-50;-40
@quoteright;@i;30;30;30
@quoteright;@j;30;30;20
@quoteright;@o;-40;-40;-50
@quoteright;@s;-70;-40;-30
@quoteright;@t;40;50;10
@quoteright;@T;;40;
